pcode,domain,depth,complexity,difficulty,error,answer
0,"[('실수와 허수', '복소수', '허수와 복소수')]",3,1,34,0,2
1,"[('경우의 수', '경우의 수', '경우의 수')]",3,1,65,0,2
2,"[('방정식과 부등식', '최대와 최소', '제한된 범위에서의 최대와 최소')]",3,1,57,0,1
3,"[('다항식', '인수분해', '인수분해의 기본 공식')]",3,1,32,0,2
4,"[('실수와 허수', '실수', '무리수가 서로 같을 조건')]",3,1,50,0,3
5,"[('집합과 명제', '집합의 연산법칙', '유한집합의 원소의 개수')]",3,1,37,0,3
6,"[('도형의 방정식', '원의 방정식', '두 원의 위치 관계')]",3,1,43,0,4
7,"[('함수', '무리함수의 그래프', '무리식')]",3,1,32,0,1
8,"[('실수와 허수', '실수', '제곱근, 세제곱근과 그 연산')]",3,1,6,0,2
9,"[('방정식과 부등식', '삼차방정식과 사차방정식', '삼차방정식의 근과 계수의 관계')]",3,1,24,0,1
10,"[('함수', '무리함수의 그래프', '무리함수의 그래프')]",3,1,18,0,2
11,"[('다항식', '항등식과 미정계수', '항등식의 성질과 미정계수법')]",3,1,31,0,4
12,"[('방정식과 부등식', '일차부등식과 연립일차부등식', '부등식의 성질과 일차부등식의 해법')]",3,1,5,0,2
13,"[('집합과 명제', '명제와 조건', '충분조건, 필요조건')]",3,1,54,0,4
14,"[('다항식', '항등식과 미정계수', '다항식의 나눗셈과 항등식')]",3,1,54,0,3
15,"[('도형의 방정식', '원의 방정식', '원과 직선의 위치 관계')]",3,1,7,0,1
16,"[('집합과 명제', '명제의 증명', '명제의 증명')]",3,1,15,0,4
17,"[('집합과 명제', '명제의 증명', '명제의 증명')]",3,1,35,0,4
18,"[('방정식과 부등식', '일차, 이차방정식', '일차방정식의 해법'), ('함수', '합성함수와 역함수', '역함수'), ('실수와 허수', '실수', '정수의 분류')]",3,3,40,0,2
19,"[('다항식', '인수분해', '기본 공식의 활용')]",3,1,27,0,4
20,"[('함수', '다항함수의 그래프', '일차함수의 그래프')]",3,1,12,0,1
21,"[('실수와 허수', '실수', '무리수가 서로 같을 조건'), ('경우의 수', '순열과 조합', '순열'), ('방정식과 부등식', '삼차방정식과 사차방정식', '삼차방정식의 근과 계수의 관계')]",3,3,40,0,2
22,"[('실수와 허수', '실수', '무리수가 서로 같을 조건')]",3,1,9,0,1
23,"[('실수와 허수', '실수', '정수의 분류')]",3,1,26,0,3
24,"[('다항식', '나머지 정리', '인수정리와 고차식의 인수분해'), ('경우의 수', '경우의 수', '경우의 수')]",3,2,59,0,2
25,"[('방정식과 부등식', '일차, 이차방정식', '이차방정식의 해법')]",3,1,38,0,4
26,"[('방정식과 부등식', '이차방정식의 근과 계수의 관계', '이차방정식의 정수근')]",3,1,47,0,2
27,"[('방정식과 부등식', '이차방정식의 판별식', '판별식의 활용')]",3,1,58,0,4
28,"[('함수', '무리함수의 그래프', '무리함수의 그래프')]",3,1,8,0,1
29,"[('경우의 수', '경우의 수', '경우의 수')]",3,1,48,0,2
30,"[('집합과 명제', '명제의 증명', '절대부등식의 증명')]",3,1,6,0,2
31,"[('도형의 방정식', '직선의 방정식', '직선의 방정식')]",3,1,35,0,2
32,"[('도형의 방정식', '평면좌표', '선분의 내분점과 외분점')]",3,1,48,0,1
33,"[('방정식과 부등식', '최대와 최소', '판별식을 이용하는 최대와 최소')]",3,1,46,0,2
34,"[('다항식', '항등식과 미정계수', '다항식의 나눗셈과 항등식')]",3,1,28,0,3
35,"[('집합과 명제', '집합의 연산법칙', '집합의 연산법칙')]",3,1,22,0,1
36,"[('방정식과 부등식', '이차방정식의 판별식', '이차방정식의 판별식')]",3,1,7,0,1
37,"[('집합과 명제', '집합의 연산법칙', '유한집합의 원소의 개수')]",3,1,26,0,2
38,"[('함수', '함수', '함수'), ('다항식', '항등식과 미정계수', '항등식의 성질과 미정계수법')]",3,2,35,0,4
39,"[('경우의 수', '경우의 수', '경우의 수'), ('방정식과 부등식', '이차방정식의 근과 계수의 관계', '이차방정식의 실근의 부호')]",3,2,69,0,3
40,"[('방정식과 부등식', '이차부등식과 연립이차부등식', '이차부등식의 해법')]",3,1,24,0,1
41,"[('경우의 수', '경우의 수', '경우의 수')]",3,1,54,0,4
42,"[('함수', '함수', '함수의 그래프')]",3,1,7,0,4
43,"[('함수', '함수', '일대일대응')]",3,1,19,0,4
44,"[('다항식', '항등식과 미정계수', '다항식의 나눗셈과 항등식'), ('실수와 허수', '실수', '실수'), ('집합과 명제', '집합', '집합과 원소')]",3,3,69,0,4
45,"[('방정식과 부등식', '최대와 최소', '제한된 범위에서의 최대와 최소')]",3,1,17,0,3
46,"[('방정식과 부등식', '일차부등식과 연립일차부등식', '여러 가지 부등식'), ('함수', '무리함수의 그래프', '무리함수의 그래프'), ('실수와 허수', '실수', '제곱근, 세제곱근과 그 연산')]",3,3,54,0,3
47,"[('실수와 허수', '복소수', '허수와 복소수')]",3,1,56,0,4
48,"[('집합과 명제', '명제와 조건', '명제와 조건')]",3,1,42,0,1
49,"[('방정식과 부등식', '이차부등식과 연립이차부등식', '이차부등식의 해법'), ('경우의 수', '경우의 수', '경우의 수'), ('도형의 방정식', '평면좌표', '선분의 내분점과 외분점')]",3,3,72,0,2
50,"[('경우의 수', '순열과 조합', '조합'), ('실수와 허수', '복소수', '복소수의 연산')]",3,2,63,0,2
51,"[('다항식', '나머지 정리', '나머지 정리')]",3,1,64,0,3
52,"[('다항식', '나머지 정리', '나머지 정리')]",3,1,39,0,4
53,"[('함수', '합성함수와 역함수', '합성함수')]",3,1,61,0,1
54,"[('실수와 허수', '복소수', '복소수의 연산')]",3,1,60,0,2
55,"[('방정식과 부등식', '이차방정식과 이차함수', '이차방정식과 이차함수의 관계')]",3,1,34,0,1
56,"[('실수와 허수', '복소수', '복소수의 연산')]",3,1,61,0,4
57,"[('집합과 명제', '집합', '집합과 원소')]",3,1,52,0,4
58,"[('집합과 명제', '집합의 연산법칙', '집합의 연산법칙')]",3,1,28,0,4
59,"[('함수', '무리함수의 그래프', '무리함수의 그래프')]",3,1,61,0,1
60,"[('도형의 방정식', '직선의 방정식', '자취 문제(직선)'), ('방정식과 부등식', '이차방정식의 근과 계수의 관계', '이차방정식의 정수근'), ('실수와 허수', '실수', '실수')]",3,3,69,0,2
61,"[('함수', '다항함수의 그래프', '이차함수의 그래프'), ('다항식', '인수분해', '인수분해의 기본 공식')]",3,2,41,0,2
62,"[('경우의 수', '경우의 수', '경우의 수'), ('실수와 허수', '실수', '정수의 분류'), ('도형의 방정식', '원의 방정식', '자취 문제(원)')]",3,3,47,0,3
63,"[('경우의 수', '경우의 수', '경우의 수'), ('집합과 명제', '집합의 연산법칙', '유한집합의 원소의 개수')]",3,2,33,0,4
64,"[('도형의 방정식', '평면좌표', '두 점 사이의 거리'), ('집합과 명제', '명제의 증명', '절대부등식의 활용')]",3,2,68,0,1
65,"[('경우의 수', '순열과 조합', '조합')]",3,1,42,0,4
66,"[('도형의 방정식', '직선의 방정식', '점과 직선 사이의 거리')]",3,1,26,0,2
